crit_beds,std_beds,pool,thy_rho,thy_Lq,thy_Wq,thy_stable,sim_rho,sim_Lq,sim_Wq
1,1,critical,2.1111,inf,inf,0,0.9938,79.4241,1384.1090
1,1,standard,1.6667,inf,inf,0,0.9987,87.1002,993.6040
1,2,critical,2.1111,inf,inf,0,0.9938,86.2745,1463.7976
1,2,standard,0.8333,1.9602,19.6023,1,0.7913,1.2161,12.1137
1,3,critical,2.1111,inf,inf,0,0.9938,80.8105,1421.9872
1,3,standard,0.5556,0.1939,1.9391,1,0.5382,0.1827,1.7907
1,4,critical,2.1111,inf,inf,0,0.9938,87.9806,1527.9393
1,4,standard,0.4167,0.0379,0.3788,1,0.3974,0.0153,0.1657
1,5,critical,2.1111,inf,inf,0,0.9938,78.4930,1411.4556
1,5,standard,0.3333,0.0078,0.0783,1,0.3211,0.0133,0.1319
1,6,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,6,standard,0.2778,0.0015,0.0155,1,0.2684,0.0000,0.0000
1,7,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,7,standard,0.2381,0.0003,0.0028,1,0.2300,0.0000,0.0000
1,8,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,8,standard,0.2083,0.0000,0.0005,1,0.2013,0.0000,0.0000
1,9,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,9,standard,0.1852,0.0000,0.0001,1,0.1789,0.0000,0.0000
1,10,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,10,standard,0.1667,0.0000,0.0000,1,0.1610,0.0000,0.0000
1,11,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,11,standard,0.1515,0.0000,0.0000,1,0.1464,0.0000,0.0000
1,12,critical,2.1111,inf,inf,0,0.9938,87.6227,1479.9878
1,12,standard,0.1389,0.0000,0.0000,1,0.1342,0.0000,0.0000
2,1,critical,1.0556,inf,inf,0,0.9642,15.1709,211.9076
2,1,standard,1.6667,inf,inf,0,0.9987,90.2837,1019.8316
2,2,critical,1.0556,inf,inf,0,0.9618,18.3577,262.3217
2,2,standard,0.8333,1.9602,19.6023,1,0.7592,1.1617,12.1735
2,3,critical,1.0556,inf,inf,0,0.9804,16.1998,238.5907
2,3,standard,0.5556,0.1939,1.9391,1,0.5074,0.1052,1.1213
2,4,critical,1.0556,inf,inf,0,0.9644,11.7684,162.2297
2,4,standard,0.4167,0.0379,0.3788,1,0.3905,0.0180,0.1830
2,5,critical,1.0556,inf,inf,0,0.9630,11.8227,165.6854
